No.,Time,Source,Destination,Protocol,Length,TCP Segment Len,TCP Delta,Info
"1","0.000000000","192.168.1.101","68.87.71.226","17","85",,,"Standard query 0x0001 PTR 226.71.87.68.in-addr.arpa"
"2","0.012481000","68.87.71.226","192.168.1.101","17","137",,,"Standard query response 0x0001 PTR 226.71.87.68.in-addr.arpa PTR cns.chelmsfdrdc2.ma.boston.comcast.net"
"3","0.014232000","192.168.1.101","68.87.71.226","17","91",,,"Standard query 0x0002 A www.mit.edu.hsd1.ma.comcast.net"
"4","0.042641000","68.87.71.226","192.168.1.101","17","171",,,"Standard query response 0x0002 No such name A www.mit.edu.hsd1.ma.comcast.net SOA dns1.inflow.pa.bo.comcast.net"
"5","0.044178000","192.168.1.101","68.87.71.226","17","86",,,"Standard query 0x0003 A www.mit.edu.ma.comcast.net"
"6","0.058934000","68.87.71.226","192.168.1.101","17","86",,,"Standard query response 0x0003 Server failure A www.mit.edu.ma.comcast.net"
"7","0.060268000","192.168.1.101","68.87.71.226","17","71",,,"Standard query 0x0004 A www.mit.edu"
"8","0.074984000","68.87.71.226","192.168.1.101","17","87",,,"Standard query response 0x0004 A www.mit.edu A 18.7.22.83"
"9","2.874248000","128.119.245.93","192.168.1.101","6","123","69","0.000000000","Application Data"
"10","2.886418000","192.168.1.101","128.119.245.93","6","91","37","0.012170000","Application Data"
"11","2.901973000","128.119.245.93","192.168.1.101","6","107","53","0.015555000","Application Data"
"12","2.914501000","192.168.1.101","128.119.245.93","6","91","37","0.012528000","Application Data"
"13","2.929459000","128.119.245.93","192.168.1.101","6","107","53","0.014958000","Application Data"
"14","2.930094000","192.168.1.101","128.119.245.93","6","123","69","0.000635000","Application Data"
"15","2.945019000","128.119.245.93","192.168.1.101","6","155","101","0.014925000","Application Data"
"16","3.122854000","192.168.1.101","128.119.245.93","6","54","0","0.177835000","4294 → 993 [ACK] Seq=144 Ack=277 Win=64946 Len=0"
"17","3.202518000","192.168.1.101","128.119.245.93","6","267","213","0.079664000","Application Data"
"18","3.222514000","128.119.245.93","192.168.1.101","6","667","613","0.019996000","Application Data"
"19","3.324036000","192.168.1.101","128.119.245.93","6","54","0","0.101522000","4294 → 993 [ACK] Seq=357 Ack=890 Win=64333 Len=0"
"20","3.399790000","192.168.1.101","128.119.245.93","6","91","37","0.075754000","Application Data"
"21","3.413428000","128.119.245.93","192.168.1.101","6","107","53","0.013638000","Application Data"
"22","3.525215000","192.168.1.101","128.119.245.93","6","54","0","0.111787000","4294 → 993 [ACK] Seq=394 Ack=943 Win=64280 Len=0"
"23","12.226707000","192.168.1.101","66.31.70.239","6","142","88","0.000000000","3796 → 37024 [PSH, ACK] Seq=1 Ack=1 Win=65449 Len=88"
"24","12.249710000","66.31.70.239","192.168.1.101","6","60","4","0.023003000","37024 → 3796 [PSH, ACK] Seq=1 Ack=89 Win=64375 Len=4"
"25","12.377175000","192.168.1.101","66.31.70.239","6","54","0","0.127465000","3796 → 37024 [ACK] Seq=89 Ack=5 Win=65445 Len=0"
"26","28.405905000","72.14.211.99","192.168.1.101","6","60","0","0.000000000","80 → 4299 [FIN, ACK] Seq=1 Ack=1 Win=8190 Len=0"
"27","28.405952000","192.168.1.101","72.14.211.99","6","54","0","0.000047000","4299 → 80 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"28","39.781959000","192.168.1.101","68.87.71.226","17","85",,,"Standard query 0x0001 PTR 226.71.87.68.in-addr.arpa"
"29","39.794838000","68.87.71.226","192.168.1.101","17","137",,,"Standard query response 0x0001 PTR 226.71.87.68.in-addr.arpa PTR cns.chelmsfdrdc2.ma.boston.comcast.net"
"30","39.796777000","192.168.1.101","68.87.71.226","17","87",,,"Standard query 0x0002 NS mit.edu.hsd1.ma.comcast.net"
"31","39.823784000","68.87.71.226","192.168.1.101","17","167",,,"Standard query response 0x0002 No such name NS mit.edu.hsd1.ma.comcast.net SOA dns1.inflow.pa.bo.comcast.net"
"32","39.825175000","192.168.1.101","68.87.71.226","17","82",,,"Standard query 0x0003 NS mit.edu.ma.comcast.net"
"33","39.838373000","68.87.71.226","192.168.1.101","17","82",,,"Standard query response 0x0003 Server failure NS mit.edu.ma.comcast.net"
"34","39.839799000","192.168.1.101","68.87.71.226","17","67",,,"Standard query 0x0004 NS mit.edu"
"35","39.852235000","68.87.71.226","192.168.1.101","17","176",,,"Standard query response 0x0004 NS mit.edu NS W20NS.mit.edu NS BITSY.mit.edu NS STRAWB.mit.edu A 18.72.0.3 A 18.71.0.151 A 18.70.0.160"
"36","39.933864000","192.168.1.101","72.14.211.99","6","54","0","11.527912000","4299 → 80 [FIN, ACK] Seq=1 Ack=2 Win=65535 Len=0"
"37","39.973839000","72.14.211.99","192.168.1.101","6","60","0","0.039975000","80 → 4299 [ACK] Seq=2 Ack=2 Win=8190 Len=0"
